Table,1,2,3,4
countrylanguage,ABW,Dutch,T,5.3
countrylanguage,ABW,English,F,9.5
countrylanguage,ABW,Papiamento,F,76.7
countrylanguage,ABW,Spanish,F,7.4
countrylanguage,AFG,Balochi,F,0.9
countrylanguage,AFG,Dari,T,32.1
countrylanguage,AFG,Pashto,T,52.4
countrylanguage,AFG,Turkmenian,F,1.9
countrylanguage,AFG,Uzbek,F,8.8
countrylanguage,AGO,Ambo,F,2.4
countrylanguage,AGO,Chokwe,F,4.2
countrylanguage,AGO,Kongo,F,13.2
countrylanguage,AGO,Luchazi,F,2.4
countrylanguage,AGO,Luimbe-nganguela,F,5.4
countrylanguage,AGO,Luvale,F,3.6
countrylanguage,AGO,Mbundu,F,21.6
countrylanguage,AGO,Nyaneka-nkhumbi,F,5.4
countrylanguage,AGO,Ovimbundu,F,37.2
countrylanguage,AIA,English,T,0.0
countrylanguage,ALB,Albaniana,T,97.9
countrylanguage,ALB,Greek,F,1.8
countrylanguage,ALB,Macedonian,F,0.1
countrylanguage,AND,Catalan,T,32.3
countrylanguage,AND,French,F,6.2
countrylanguage,AND,Portuguese,F,10.8
countrylanguage,AND,Spanish,F,44.6
countrylanguage,ANT,Dutch,T,0.0
countrylanguage,ANT,English,F,7.8
countrylanguage,ANT,Papiamento,T,86.2
countrylanguage,ARE,Arabic,T,42.0
countrylanguage,ARE,Hindi,F,0.0
countrylanguage,ARG,Indian Languages,F,0.3
countrylanguage,ARG,Italian,F,1.7
countrylanguage,ARG,Spanish,T,96.8
countrylanguage,ARM,Armenian,T,93.4
countrylanguage,ARM,Azerbaijani,F,2.6
countrylanguage,ASM,English,T,3.1
countrylanguage,ASM,Samoan,T,90.6
countrylanguage,ASM,Tongan,F,3.1
countrylanguage,ATG,Creole English,F,95.7
countrylanguage,ATG,English,T,0.0
countrylanguage,AUS,Arabic,F,1.0
countrylanguage,AUS,Canton Chinese,F,1.1
countrylanguage,AUS,English,T,81.2
countrylanguage,AUS,German,F,0.6
countrylanguage,AUS,Greek,F,1.6
countrylanguage,AUS,Italian,F,2.2
countrylanguage,AUS,Serbo-Croatian,F,0.6
countrylanguage,AUS,Vietnamese,F,0.8
countrylanguage,AUT,Czech,F,0.2
countrylanguage,AUT,German,T,92.0
countrylanguage,AUT,Hungarian,F,0.4
countrylanguage,AUT,Polish,F,0.2
countrylanguage,AUT,Romanian,F,0.2
countrylanguage,AUT,Serbo-Croatian,F,2.2
countrylanguage,AUT,Slovene,F,0.4
countrylanguage,AUT,Turkish,F,1.5
countrylanguage,AZE,Armenian,F,2.0
countrylanguage,AZE,Azerbaijani,T,89.0
countrylanguage,AZE,Lezgian,F,2.3
countrylanguage,AZE,Russian,F,3.0
countrylanguage,BDI,French,T,0.0
countrylanguage,BDI,Kirundi,T,98.1
countrylanguage,BDI,Swahili,F,0.0
countrylanguage,BEL,Arabic,F,1.6
countrylanguage,BEL,Dutch,T,59.2
countrylanguage,BEL,French,T,32.6
countrylanguage,BEL,German,T,1.0
countrylanguage,BEL,Italian,F,2.4
countrylanguage,BEL,Turkish,F,0.9
countrylanguage,BEN,Adja,F,11.1
countrylanguage,BEN,Aizo,F,8.7
countrylanguage,BEN,Bariba,F,8.7
countrylanguage,BEN,Fon,F,39.8
countrylanguage,BEN,Ful,F,5.6
countrylanguage,BEN,Joruba,F,12.2
countrylanguage,BEN,Somba,F,6.7
countrylanguage,BFA,Busansi,F,3.5
countrylanguage,BFA,Dagara,F,3.1
countrylanguage,BFA,Dyula,F,2.6
countrylanguage,BFA,Ful,F,9.7
countrylanguage,BFA,Gurma,F,5.7
countrylanguage,BFA,Mossi,F,50.2
countrylanguage,BGD,Bengali,T,97.7
countrylanguage,BGD,Chakma,F,0.4
countrylanguage,BGD,Garo,F,0.1
countrylanguage,BGD,Khasi,F,0.1
countrylanguage,BGD,Marma,F,0.2
countrylanguage,BGD,Santhali,F,0.1
countrylanguage,BGD,Tripuri,F,0.1
countrylanguage,BGR,Bulgariana,T,83.2
countrylanguage,BGR,Macedonian,F,2.6
countrylanguage,BGR,Romani,F,3.7
countrylanguage,BGR,Turkish,F,9.4
countrylanguage,BHR,Arabic,T,67.7
countrylanguage,BHR,English,F,0.0
countrylanguage,BHS,Creole English,F,89.7
countrylanguage,BHS,Creole French,F,10.3
countrylanguage,BIH,Serbo-Croatian,T,99.2
countrylanguage,BLR,Belorussian,T,65.6
countrylanguage,BLR,Polish,F,0.6
countrylanguage,BLR,Russian,T,32.0
countrylanguage,BLR,Ukrainian,F,1.3
countrylanguage,BLZ,English,T,50.8
countrylanguage,BLZ,Garifuna,F,6.8
countrylanguage,BLZ,Maya Languages,F,9.6
countrylanguage,BLZ,Spanish,F,31.6
countrylanguage,BMU,English,T,100.0
countrylanguage,BOL,Aimará,T,3.2
countrylanguage,BOL,Guaraní,F,0.1
countrylanguage,BOL,Ketšua,T,8.1
countrylanguage,BOL,Spanish,T,87.7
countrylanguage,BRA,German,F,0.5
countrylanguage,BRA,Indian Languages,F,0.2
countrylanguage,BRA,Italian,F,0.4
countrylanguage,BRA,Japanese,F,0.4
countrylanguage,BRA,Portuguese,T,97.5
countrylanguage,BRB,Bajan,F,95.1
countrylanguage,BRB,English,T,0.0
countrylanguage,BRN,Chinese,F,9.3
countrylanguage,BRN,English,F,3.1
countrylanguage,BRN,Malay,T,45.5
countrylanguage,BRN,Malay-English,F,28.8
countrylanguage,BTN,Asami,F,15.2
countrylanguage,BTN,Dzongkha,T,50.0
countrylanguage,BTN,Nepali,F,34.8
countrylanguage,BWA,Khoekhoe,F,2.5
countrylanguage,BWA,Ndebele,F,1.3
countrylanguage,BWA,San,F,3.5
countrylanguage,BWA,Shona,F,12.3
countrylanguage,BWA,Tswana,F,75.5
countrylanguage,CAF,Banda,F,23.5
countrylanguage,CAF,Gbaya,F,23.8
